,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
154561,2.02E+15,2015,10,21,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Bayt Umar,31.626705,35.104968,1,0,,"10/21/2015: Assailants threw rocks at an Israel Defense Forces (IDF) vehicle in Bayt Umar town, West Bank. As the soldiers exited their vehicle to investigate, another assailant ran them over in a vehicle. At least five people, four soldiers and one assailant, were injured in the attack. No group claimed responsibility; however, sources identified the assailants as Palestinian extremists.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,5,0,1,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers for this attack conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Five soldiers wounded in car-ramming terrorist attack in West Bank,"" Jerusalem Post, October 21, 2015.","""Female soldier stabbed, critically wounded by two assailants,"" Ynet News, October 21, 2015.","""4 Israeli soldiers hurt, one seriously, in West Bank car-ramming attack,"" JTA, October 21, 2015.",START Primary Collection,0,0,0,0,
154999,2.02E+16,2015,11,1,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Beit Einun,31.564108,35.126918,1,0,,"11/01/2015: An assailant rammed a vehicle into Border Police officers at the Beit Einun junction in West Bank and Gaza Strip. Three officers were injured in the attack. No group claimed responsibility for the incident; however, sources indicated that the assailant later turned himself into Israeli security forces and was identified as a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,3,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Driver in suspected car ramming attack north of Kiryat Arba turns self in,"" Jerusalem Post, November 1, 2015.","""Three wounded in West Bank car attack,"" Ynet News, November 3, 2015.","""3 Israelis police hurt in West Bank car-ramming attack: police,"" Focus Bulgaria, November 1, 2015.",START Primary Collection,0,0,0,0,
155094,2.02E+16,2015,11,4,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Halhul,31.578413,35.102065,1,0,,"11/04/2015: An assailant rammed a car into three border police officers at the junction in Halhul, West Bank and Gaza Strip. The assailant and a border police officer were killed and two officers were injured as a result of the attack. No group claimed responsibility for the incident; however, sources identified the assailant as Ibrahim Saqafi, a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,2,0,1,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Border policeman, 20, wounded in vehicular terror attack last week succumbs to wounds,"" Jerusalem Post, November 8, 2015.","""Israeli critically wounded in suspected car ramming attack in W. Bank near Hebron,"" Jerusalem Post, November 4, 2015.","""Israel: IDF Soldier Dies of Wounds Sustained in West Bank Vehicular Attack on 4 November,"" Ynetnews, November 8, 2015.",START Primary Collection,0,0,0,0,
155173,2.02E+16,2015,11,6,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Halhul,31.578413,35.102065,1,0,,"11/06/2015: A female assailant attempted to run over Israel Defense Forces (IDF) with her vehicle in Halhul town, West Bank and Gaza Strip. The assailant was killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Tharwat al-Sha'arawi, a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldier,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Israeli seriously wounded in West Bank stabbing attack,"" Ynet News, November 6, 2015.",,,START Primary Collection,0,0,0,0,
155223,2.02E+16,2015,11,8,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Tapuah,32.119818,35.2498,1,0,,"11/08/2015: An assailant rammed a car into a group of people at a hitchhiking stop at Tapuah junction in the West Bank and Gaza Strip. Four Israelis were wounded in the attack. The perpetrator was shot and killed by security forces. No group claimed responsibility for the incident; however, sources identified the assailant as Sulemain Shaheen, a Palestinian Extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,101,Bus Station/Stop,Unknown,Hitchhiking Station,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,4,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Knife, car attacks  in West Bank wound  5, attackers shot,"" The Nation Pakistan, November 9, 2015.","""Four wounded in West Bank car attack, one wounded in knife attack,"" Ynet News, November 8, 2015.","""Wave of terror October 2015,"" IMFA, October 14, 2015.",START Primary Collection,0,0,0,0,
155516,2.02E+16,2015,11,14,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Psagot,31.900338,35.22467,1,0,,"11/14/2015: An assailant rammed his vehicle into a vehicle driven by Israelis in Psagot town, West Bank. The assailant was killed and four civilians were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,4,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""4 Israelis wounded, 1 Palestinian killed in West Bank vehicular attack,"" Ynet News, November 14, 2015.","""Palestinian motorist dies in what Israel suspects was ramming attack,"" Yahoo! Canada, November 14, 2015.","""Four wounded in car attack north of Jerusalem,"" Israel National News, November 14, 2015.",START Primary Collection,0,0,0,0,
155743,2.02E+16,2015,11,20,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Abu Dis,31.761745,35.265042,1,1,,"11/20/2015: An assailant rammed a vehicle into a Border Police officer near Abu Dis town, West Bank. The officer was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officer,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Police catch attacker in Kiryat Gat terror stabbing after four-hour-long manhunt,"" Tajikistan News.net, November 22, 2015.",,,START Primary Collection,0,0,0,0,
155826,2.02E+16,2015,11,22,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Kefar Adumim,31.827216,35.337189,1,0,,"11/22/2015: An assailant in a taxi first attempted to ram his vehicle into Israeli civilians, then got out and attempted to stab them at the Kefar Adumim Junction, West Bank. A civilian was injured in the attack and the assailant was killed when a civilian opened fire. No group claimed responsibility for the incident; however, sources attributed the attack to Shadi Khaseb, a Palestinian extremist.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,A knife and a taxi cab were used in the attack.,1,0,1,1,0,0,1,3,Minor (likely < $1 million),-99,A vehicle was damaged in this attack.,0,,,,,,,,,,,,,,,,,"""West Bank Faces Spate of Assaults That Kill 4,"" The New York Times, November 23, 2015.","""Two women commit Jerusalem stabbing attack,"" Ynet News, November 23, 2015.","""Teen among 3 Palestinians killed after knife attacks,"" Oman Tribune, November 22, 2015.",START Primary Collection,0,0,0,0,
155867,2.02E+16,2015,11,23,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Shavei Shomron,32.263507,35.184428,1,0,,"11/23/2015: An assailant in a vehicle struck an Israeli civilian near Shavei Shomron, West Bank. The civilian was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist.",1,1,1,1,4,Lack of Intentionality,0,1,0,8,Unarmed Assault,,,,,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,There is doubt that this incident meets terrorism-related criteria. Sources stated that it was unclear if the incident was a car-ramming attack or a car accident.,"""IDF soldier stabbed and killed in terror attack on Route 443, north of Jerusalem,"" Jerusalem Post, November 23, 2015.","""Stabbings near Jerusalem market, attackers 'neutralised': police,"" Yahoo! UK and Ireland, November 23, 2015.","""Suspected car ramming attack in Samaria; one wounded,"" Israel National News, November 23, 2015.",START Primary Collection,0,0,0,0,
155933,2.02E+16,2015,11,24,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Tapuah,32.119818,35.2498,1,0,,"11/24/2015: An assailant rammed his car into security personnel at the Tapuah Junction in the West Bank. Three Israel Defense Forces (IDF) soldiers, one Israeli Border Police officer, and the assailant were injured in the attack. No group claimed responsibility for the attack; however, sources attributed the attack to Azmi Naf, a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officer,97,Israel,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,5,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Kerry Condemns Palestinian Attacks As He Meets Israel PM,"" AFP (World Service), November 24, 2015.","""Four Wounded in Car-ramming Attack at Tapuah Junction, West Bank,"" Haaretz, November 24, 2015.","""4 Israelis, Including IDF Lt. Colonel, Wounded in West Bank Car-Ramming Attack,"" Algemeiner.com, November 24, 2015.",START Primary Collection,0,0,0,0,
156003,2.02E+16,2015,11,27,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Kefar Adumim,31.827216,35.337189,1,0,,"11/27/2015: An assailant rammed his vehicle into Israel Defense Forces (IDF) soldiers in Kefar Adumim area, West Bank. The assailant was killed and two soldiers were wounded in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Mohammed Hasib, a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""IDF prepares to demolish family homes of three Palestinian terrorists. Eight soldiers wounded Friday in car attacks,"" The Jerusalem Post, November 29, 2015.","""Two wounded in West Bank car-ramming attack,"" Haaretz, November 27, 2015.","""2 Palestinians shot dead in West Bank,"" Bangladesh Daily Star, November 27, 2015.",START Primary Collection,0,0,0,0,
156017,2.02E+16,2015,11,27,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Bayt Umar,31.626705,35.104968,1,0,,"11/27/2015: An assailant rammed his vehicle into Israel Defense Forces (IDF) soldiers in Bayt Umar, West Bank. Six soldiers were injured in the attack and the assailant was shot and killed. No group claimed responsibility for the incident; however, sources attributed the attack to Issa Arafat, a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,6,0,0,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Six IDF soldiers wounded near Hebron in second vehicular attack of the day,"" Jerusalem Post, November 27, 2015.","""IDF prepares to demolish family homes of three Palestinian terrorists. Eight soldiers wounded Friday in car attacks,"" The Jerusalem Post, November 29, 2015.","""Five Soldiers Wounded in Car-ramming Attack Near Hebron,"" Haaretz, November 27, 2015.",START Primary Collection,0,0,0,0,
156280,2.02E+16,2015,12,4,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Ofra,31.955101,35.260324,1,1,,"12/04/2015: An assailant rammed a vehicle into two Israel Defense Forces (IDF) soldiers near Ofra settlement, West Bank and Gaza Strip. The assailant was killed and the two soldiers were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources identified the assailant as Anas Basam Hamad, a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""West Bank Attackers Killed After Attacking Israeli Troops,"" AFP (World Service), December 4, 2015.","""Israeli injured in stabbing attack near Halamish in Binyamin region,"" Jerusalem Post, December 4, 2015.","""2nd attack in an hour: Car ramming attack in Samaria,"" Israel National News, December 4, 2015.",START Primary Collection,0,0,0,0,
156339,2.02E+16,2015,12,6,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.7716,35.203401,1,0,The incident occurred in the Romema neighborhood.,"12/06/2015: An assailant rammed his vehicle into a civilian, then exited the vehicle and stabbed a police officer in Romema neighborhood, Jerusalem city, Jerusalem district, Israel. The assailant was killed and the civilian and the police officer were both injured in the attack. No group claimed responsibility for the incident; however, sources identified the assailant as Omar Eskafi, a Palestinian extremist.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israel Police,Officer,97,Israel,14,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,97,Israel,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,9,Melee,23,Knife or Other Sharp Object,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,1,0,1,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Revision: Two Israelis Injured in Jerusalem Car-Ramming, Stabbing Attack; Assailant Shot Dead,"" The Jerusalem Post Online, December 6, 2015.","""Two People Wounded in Jerusalem Stabbing Attack; Suspected Assailant Shot Dead,"" Haaretz, December 6, 2015.","""2 lightly wounded in Jerusalem vehicular-stabbing attack,"" JTA, December 6, 2015.",START Primary Collection,1,0,0,1,
156465,2.02E+16,2015,12,10,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Kfar Luban,32.036083,35.038277,1,0,,"12/10/2015: An assailant rammed a vehicle into Israel Defense Forces (IDF) soldiers near Kfar Luban area, West Bank and Gaza Strip. Four soldiers were injured in the attack. Mehmed Abed al-Halim Abed al-Hamid Salem, a member of Hamas (Islamic Resistance Movement), claimed responsibility for the incident and stated that the attack was carried out in response to Israeli intentions for Temple Mount and military operations.",1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Hamas (Islamic Resistance Movement),,,,,,"Mehmed Abed al-Halim Abed al-Hamid Salem, a member of Hamas (Islamic Resistance Movement), claimed responsibility for the incident and stated that the attack was carried out in response to Israeli intentions for Temple Mount and military operations.",0,,,0,1,1,1,8,Personal claim,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,A black Isuzu vehicle was used in the attack.,0,0,0,4,0,0,0,,,,,0,,,,,,,,,,,,,,,,"Casualty numbers for this incident conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Israeli security forces arrest suspected terrorist from West Bank ramming attack,"" Jerusalem Post, December 11, 2015.","""Israel: Four Wounded in West Bank Vehicular Attack; Security Forces Search for Assailant,"" The Jerusalem Post Online, December 10, 2015.","""Israeli emergency services: 3 Israelis injured in West Bank car ramming attack by Palestinian,"" The Canadian Press, December 10, 2015.",START Primary Collection,0,0,0,0,
156502,2.02E+16,2015,12,11,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Halhul,31.578413,35.102065,1,0,,"12/11/2015: An assailant attempted to ram his car into Israeli soldiers in Halhul junction, West Bank. The assailant was shot and killed before causing any damage. No group claimed responsibility; however, sources attributed the incident to Issa Hroub, a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Palestinian gunman opens fire at West Bank crossing; attempted ramming reported near Hebron,"" Jerusalem Post, December 11, 2015.","""Israeli Troops Thwart Two Attempted Terror Attacks in West Bank,"" Algemeiner.com, December 11, 2015.","""Palestinian wounded after firing on Israelis in West Bank,"" Associated Press, December 11, 2015.",START Primary Collection,0,0,0,0,
156599,2.02E+16,2015,12,14,,0,,97,Israel,10,Middle East & North Africa,Jerusalem,Jerusalem,31.7716,35.203401,1,0,"The incident occurred along Herzl boulevard, near Chords Bridge.","12/14/2015: An assailant rammed his vehicle into civilians at a bus stop along Herzl boulevard, Jerusalem city, Jerusalem district, Israel. At least 14 people were injured in the attack. Hamas (Islamic Resistance Movement) claimed responsibility for the incident and identified the assailant as Abed el-Muhsen Hassuna.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,19,Transportation,101,Bus Station/Stop,Unknown,Bus Stop,97,Israel,,,,,,,,,,,,,,,,,Hamas (Islamic Resistance Movement),,,,,,,0,,,0,1,0,1,10,Unknown,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,14,0,0,-9,,,,It is unknown if any property was damaged in this attack.,0,,,,,,,,,,,,,,,,"Casualty numbers for this attack conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Palestinian motorist rams Jerusalem pedestrians, shot dead,"" Reuters, December 14, 2015.","""Hamas claims responsibility for car-ramming attack in Jerusalem,"" JTA, December 15, 2015.","""Eight People Wounded in Car-ramming Attack in Jerusalem,"" Haaretz, December 14, 2015.",START Primary Collection,1,0,0,1,
156753,2.02E+16,2015,12,18,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Qalandiyah,31.861471,35.208428,1,0,,"12/18/2015: An assailant attempted to ram his vehicle into soldiers and border police officers at a checkpoint in Qalandiyah, West Bank. A security guard opened fire on the vehicle, wounding the assailant. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist.",1,1,1,0,,,0,0,0,8,Unarmed Assault,,,,,3,Police,24,Police Checkpoint,Israeli Border Police,Joint Checkpoint,97,Israel,4,Military,36,Military Checkpoint,Israel Defense Forces (IDF),Joint Checkpoint,97,Israel,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,1,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,0,0,0,1,0,1,0,,,,,0,,,,,,,,,,,,,,,,,"""Attempted car ramming attack at West Bank crossing; terrorist shot,"" Jerusalem Post, December 18, 2015.","""Israel: Car-Ramming Attack Foiled at West Bank Crossing; Perpetrator Shot, Slightly Wounded,"" The Jerusalem Post Online, December 18, 2015.","""Suspected Palestinian Assailant Shot Dead After Attempted Car-ramming Attack in West Bank,"" Haaretz, December 18, 2015.",START Primary Collection,0,0,0,0,
156754,2.02E+16,2015,12,18,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Silwad,31.9793,35.261947,1,1,,"12/18/2015: An assailant attempted to ram a vehicle into a group of Israeli soldiers near Silwad village, West Bank. The soldiers shot and killed the assailant and there were no additional casualties. No group claimed responsibility for the incident; however, sources attributed the attack to a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Terror attacks halted, violent clashes in West,"" Ynet News, December 20, 2015.","""Suspected Palestinian Assailant Shot After Attempted Car-ramming Attack,"" Haaretz, December 18, 2015.","""Palestinian shot dead in attempted West Bank car-ramming,"" The Times Of Israel, December 18, 2015.",START Primary Collection,0,0,0,0,
156968,2.02E+16,2015,12,24,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Al-Ram,31.853195,35.231169,1,0,The incident occurred in the Adam Junction area.,"12/24/2015: An assailant rammed his vehicle into Israeli soldiers and border police officers at the Adam Junction in Al-Ram, West Bank. The assailant was killed and a soldier was injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Wissam Abu Ghawileh, a Palestinian extremist.",1,1,1,0,,,0,1,0,8,Unarmed Assault,,,,,3,Police,25,Police Security Forces/Officers,Israeli Border Police,Officers,97,Israel,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Two security guards, three soldiers wounded in four incidents,"" Jerusalem Post, December 24, 2015.","""3 Israelis injured, 3 assailants killed in 3 attacks in West Bank,"" JTA, December 24, 2015.","""Palestinian driver tries to crash into IDF troops, is killed,"" The Times Of Israel, December 25, 2015.",START Primary Collection,0,0,0,0,
157002,2.02E+16,2015,12,25,,0,,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Silwad,31.9793,35.261947,1,1,,"12/25/2015: An assailant attempted to ram a vehicle into Israeli soldiers near Silwad village, West Bank. The security forces shot and killed the assailant and there were no other casualties. No group claimed responsibility for the incident; however, sources attributed the attack to Mahdia Mohammad Hamad, a Palestinian extremist.",1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,8,Unarmed Assault,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Israel Defense Forces (IDF),Soldiers,97,Israel,,,,,,,,,,,,,,,,,Palestinian Extremists,,,,,,,0,,,0,1,0,0,,,,,,,,,,10,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",,,,,,,,,,,,,,,,1,0,1,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"""Palestinian Woman Shot Dead After Attempted Car-ramming Attack in West Bank, IDF Says,"" Haaretz, December 25, 2015.","""3 Israelis stabbed in two terror attacks, 2 additional attacks foiled,"" Israel Hayom, December 27, 2015.","""Palestinian driver tries to crash into IDF troops, is killed,"" The Times Of Israel, December 25, 2015.",START Primary Collection,0,0,0,0,
